Sample No,"depth, m",Quartz,K-feldspar,Plagioclase,Chlorite,K-mica,Kaolinite,Calcite,Dolomite,Siderite,Pyrite,Apatite,Gypsum,Pyrrothite,,Dol i,Dol ii,Doli/Dolii,Phyllosilicate,Feldspar
LST12-1,17.2,42.4,5.3,26.9,9.1,9.3,6.3,,0.5,,0.2,,,,,,,,24.7,32.2
LST12-BS-1,24.575,48.3,1.6,10.2,,23,3.7,,0.3,0.2,12.7,,,,,,,,26.7,11.8
LST12-BS-2,25.145,51.7,1.8,4.4,,32.8,3.1,,1.9,3.6,0.7,,,,,,,,35.9,6.2
LST12-2,25.9,48,3.1,2.6,,37.9,3,0.2,1.5,3.3,0.6,,,,,,,,40.9,5.7
LST12-BS-3,26.465,57,4.8,4.7,,26.8,4,,1.1,0.8,0.6,,,,,,,,30.8,9.5
LST12-BS-4,26.91,52.6,2.2,6.5,,24.6,2.9,0.2,9.8,0.3,0.9,,,,,,,,27.5,8.7
LST12-4b,26.91,55.3,3.4,6.2,2.5,27.4,3.8,,0.7,0.2,0.4,,,,,,,,33.7,9.6
LST12-BS-5,27.415,66.8,0.8,1.5,,10.6,4.1,,10.3,0.5,5.4,,,,,,,,14.7,2.3
LST12-3b,27.465,51,4.5,2.7,,30.5,2.9,,2.3,5.9,,,,,,,,,33.4,7.2
LST12-3,26.7,54,5.8,3.6,,31.4,3.2,,0.6,0.9,0.6,,,,,,,,34.6,9.4
LST12-BS-6,28.4,54,0.7,7.6,,22.8,2.2,0.3,9.5,,1.9,,1,,,,,,25,8.3
LST12-4,29,51,3,5.4,,27.3,2.6,,9.5,0.4,0.7,,,,,,,,29.9,8.4
LST12-BS-7,29.12,56,1.6,6.1,,25.3,3,0.2,5.8,0.2,0.9,,0.9,,,,,,28.3,7.7
LST12-BS-8,30.32,72.4,0.7,3.9,,17.6,2.5,,2.1,0.4,0.4,,,,,,,,20.1,4.6
LST12-BS-9,30.77,56.2,0.7,6.8,,25,,,2.8,5.2,2.2,,0.9,,,,,,25,7.5
LST12-BS-10,31.37,49.2,0.9,5.8,,23,,,11.4,3.5,4.2,,1.9,,,,,,23,6.7
LST12-BS-11,31.765,41.9,7.4,9.9,2.2,28.9,,,1,2,4.8,,1.9,,,,,,31.1,17.3
LST12-12bH,32.525,62.5,3.3,0.9,,5.1,,,22,4.5,,1.7,,,,5.7,16.3,0.35,5.1,4.2
LST12-12bT,32.525,62.6,2.2,0.9,,3.6,,,5.6,,,25,,,,,,,3.6,3.1
LST12-BS-13,33.175,40.5,7.1,9.6,1.5,28.4,3.4,,1.2,2,4.6,,1.6,,,,,,33.3,16.7
LST12-BS-14,34.225,70.1,2.4,3.5,,18.1,,0.2,0.8,0.2,4.1,,0.6,,,,,,18.1,5.9
15b,34.525,,,,,,,,,,,,,,,,,,,
LST12-16bH,35.03,55.2,2.8,3.8,0.7,31.1,2.9,,0.7,0.9,0.6,,1.2,,,,,,34.7,6.6
LST12-16bT,35.03,55.5,2.9,4.6,0.7,30,2.7,0.2,0.5,,1.3,,1.6,,,,,,33.4,7.5
LST12-5,35.1,65,4.7,1.3,,11.2,3.5,,8.8,0.3,5.1,,,,,,,,14.7,6
LST12-BS-17,35.475,74,5.8,4.2,,12.1,,,0.5,,3.3,,,,,,,,12.1,10
LST12-BS-18,35.875,41.3,7.1,9.1,1.4,29.7,3.1,,1,1.8,4.6,,0.8,,,,,,34.2,16.2
LST12-6,37,48.1,2.8,0.5,,0.6,0.3,1,46.7,,,,,,,20.7,26,0.8,0.9,3.3
LST12-19b,38.035,36.4,1.4,0.4,,8.5,,1,51.9,,,,,,,27.8,24.2,1.15,8.5,1.8
LST12-7,39.2,28.8,1.7,0.6,,11.7,,2.8,54.2,,0.2,,,,,28.2,26,1.08,11.7,2.3
LST12-20bH,39.75,39.9,1.3,,,,,5.4,53.1,,0.4,,,,,32.6,20.4,1.6,0,1.3
LST12-20bT,39.75,35,1.3,,,,,4,59.4,,0.3,,,,,33,26.4,1.25,0,1.3
LST12-8,40.6,26.8,2.1,,,5.7,,1,64.3,,,,,,,34.6,29.8,1.16,5.7,2.1
LST12-21bH,41.68,18.1,1.1,,,,,5.5,74.9,,0.3,,,,,43.4,31.5,1.38,0,1.1
LST12-21bT,41.68,27.7,1.2,,,,,4.8,66,,0.3,,,,,40.4,25.6,1.58,0,1.2
LST12-9,42,31.8,2.1,,,4.5,,6.1,55.4,,,,,,,23.4,32,0.73,4.5,2.1
LST12-10,42.2,22.7,1,,,0.3,,2.8,73.2,,,,,,,38.6,34.6,1.12,0.3,1
LST12-23b,44.35,18,1.4,,,,,1.9,78.3,,0.3,,,,,39.8,38.6,1.03,0,1.4
LST12-11,45,32,1,0.9,,1,,2.3,62.4,,0.3,,,,,45.8,16.6,2.76,1,1.9
LST12-24bH,46.155,7.8,0.6,,,0.3,,3,88,,0.3,,,,,53.6,34.4,1.56,0.3,0.6
LST12-24bT,46.155,19,0.4,1.4,,0.6,,6.2,72,,0.3,,,,,47.2,24.8,1.9,0.6,1.8
LST12-24bVT,46.155,30.9,0.1,0.2,,0.9,,3.5,63.6,,0.9,,,,,44.2,19.4,2.28,0.9,0.3
LST12-12H,47,16,1.6,,,0.8,,3.6,77.5,,0.5,,,,,41.6,35.8,1.16,0.8,1.6
LST12-12,47,15.9,1.3,,,0.6,,2.6,79.1,,0.5,,,,,43,36.1,1.19,0.6,1.3
LST12-13H,48,14.2,2.2,0.3,,0.8,,2.6,79.5,,0.5,,,,,47.6,31.9,1.49,0.8,2.5
LST12-13,48,11.8,2.1,2.9,,0.5,,2.5,79.7,,0.5,,,,,49.3,30.4,1.62,0.5,5
LST12-25b,49.05,23.4,1.1,0.9,,0.8,,2.4,71.2,,0.3,,,,,47.8,23.5,2.03,0.8,2
LST12-14,50.2,18,1.2,0.4,,,,5.5,74.3,,0.4,,,,,46.8,27.5,1.7,0,1.6
LST12-15H,51.5,22.7,1.7,,,1.6,,3.4,70.3,,0.4,,,,,42.1,28.3,1.49,1.6,1.7
LST12-15T,51.5,15.2,1.1,,,0.8,,5.1,77.5,,0.4,,,,,47.3,30.3,1.56,0.8,1.1
LST12-26bD,51.95,24.7,,,,4.4,,2,68.4,,0.3,,,,,49,19.4,2.53,4.4,0
LST12-26bL,51.95,15.1,0.4,,,3.8,,2,78.3,,0.4,,,,,55.8,22.5,2.48,3.8,0.4
LST12-16,52.2,15.2,1.1,,,0.8,,5.1,77.5,,0.4,,,,,47.3,30.3,1.56,0.8,1.1
LST12-BS-27,52.75,40.4,10,2.5,,26.1,,,18.2,,2.4,,0.4,,,16.7,1.5,11.13,26.1,12.5
LST12-17,53.8,9.9,,,,,,0.7,89.2,,,,,,,73.1,16.2,4.51,0,0
LST12-BS-28,53.825,38.1,17.2,4.2,,29.7,,,5.2,,4.9,,0.6,,,,,,29.7,21.4
LST12-29b,54.29,12.5,0.6,0,,0.4,,,86.1,,0.3,,,,,64.2,21.8,2.94,0.4,0.6
LST12-BS-30,54.585,28.3,10.6,3.6,,19.5,,,31.7,,5.9,,0.5,,,29.9,1.8,16.61,19.5,14.2
LST12-31b,55.185,7.3,1.1,0.2,,0.2,,0.5,90.4,,0.3,,,,,70.1,20.3,3.45,0.2,1.3
LST12-18,55.5,17.3,,0.4,,3.8,,0.9,77.1,,0.5,,,,,61.2,15.8,3.87,3.8,0.4
LST12-BS-32,55.695,37.8,12.3,1,,22.3,,,8,,16.9,,1.8,,,,,,22.3,13.3
LST12-19,56.1,12.1,1.2,1.2,,,,0.2,84.2,,1.1,,,,,66.9,17.3,3.87,0,2.4
LST12-BS-33,56.52,52.5,11.9,1.6,,30.7,,,1.9,,0.9,,0.4,,,,,,30.7,13.5
LST12-BS-34,57.28,39.8,20.9,1.5,,35.4,,,0.9,,1,,0.4,,,,,,35.4,22.4
LST12-35b,57.535,15.3,1.9,1,,0.2,,,81.4,,,,,,,56.2,25.1,2.24,0.2,2.9
LST12-BS-36,58.1,28.1,37.7,2.5,,30.3,,,0.9,,0.6,,,,,,,#DIV/0!,30.3,40.2
37b,58.3,,,,,,,,,,,,,,,,,,,
LST12-38b,59.515,4.7,0.3,0.7,,2.6,,0.2,91.3,,0.3,,,,,77.7,13.5,5.76,2.6,1
LST12-20,60,1.6,0.8,0.2,,,,1.8,95.4,,0.2,,,,,71.9,23.4,3.07,0,1
LST12-BS-39,60.485,59.2,12.1,2.5,,21.7,,0.2,3.3,,1,,,,,,,,21.7,14.6
LST12-BS-40,61.215,76.4,4.1,2.2,,14.6,,0.2,2.1,0.1,0.4,,,,,,,,14.6,6.3
41b,61.35,,,,,,,,,,,,,,,,,,,
LST12-21,62,13.2,1.8,0.2,,4.8,,1.4,78.4,,0.2,,,,,56.2,22.1,2.54,4.8,2
LST12-22,63,5,1.2,,,2.6,,2.1,89.1,,,,,,,69.8,19.3,3.62,2.6,1.2
LST12-42b,64.2,13.4,0.4,,,4.6,,1.4,79.9,,0.3,,,,,67.1,12.8,5.24,4.6,0.4
LST12-23,65,6.8,1,,,2.2,,4.1,85,,0.9,,,,,65,20,3.25,2.2,1
LST12-24H,66,4.5,1.8,,,1.7,,7.7,83.9,,0.4,,,,,71.2,12.6,5.65,1.7,1.8
LST12-24T,66,25.2,1.3,,,4.5,,0.7,68.2,,,,,,,51.6,16.6,3.11,4.5,1.3
LST12-24TC,66,,,,,,,,,,,,,,,,,,,
LST12-25,67,8.2,1,,,3.1,,5.3,81.8,,0.5,,,,,62.7,19.2,3.27,3.1,1
LST12-26H,68,15.1,0.8,0.3,,0.5,,2.3,80.8,,0.3,,,,,42.9,37.9,1.13,0.5,1.1
LST12-26T,68,24.4,1,0.2,,0.8,,2.3,71,,0.3,,,,,38.6,32.4,1.19,0.8,1.2
LST12-26,68,1.5,0.4,,,2.5,,5.9,89.5,,0.2,,,,,69.4,20.1,3.45,2.5,0.4
